State,Cement Base (INR/MT),Steel Fe-500 (INR/MT),Aggregates (INR/cum),Handling Labor (INR/day),Primary Anchor
Kerala,6150.0,56000.0,1400.0,750.0,DES Audited Series
Tamil Nadu,5602.5,55665.0,1578.8,628.0,TN SoR 2025-26 (M-0001/2)
Karnataka,5400.0,55200.0,1100.0,580.0,KPWD SR 2024-25
Maharashtra,6100.0,59000.0,1400.0,550.0,MH PWD SSR 2024-25
Odisha,5200.0,52800.0,520.0,450.0,Odisha Works SoR
Chhattisgarh,5150.0,51500.0,490.0,425.0,CG PWD Unified SoR
Rajasthan,4950.0,54000.0,460.0,480.0,Rajasthan PWD BSR
Andhra Pradesh,5300.0,54500.0,620.0,520.0,AP BOCE CSOR 2024-25
Telangana,5250.0,54200.0,680.0,540.0,TS BOCE CSOR 2024-25
Uttar Pradesh,5350.0,54800.0,780.0,460.0,UP PWD SoR 2024-25
Delhi NCR,5450.0,56200.0,1050.0,680.0,CPWD DSR 2023/24 (Delhi)
