State,Cement Base (INR/MT),Steel Fe-500 (INR/MT),Aggregates (INR/cum),Handling Labor (INR/day),Primary Anchor
Kerala,6150.0,56000.0,1400.0,750.0,DES Audited Series
Tamil Nadu,5602.5,55665.0,1578.8,628.0,TN SoR 2025-26 (M-0001/2)
Karnataka,5400.0,55200.0,1100.0,580.0,KPWD SR 2024-25
Maharashtra,6100.0,59000.0,1400.0,550.0,MH PWD SSR 2024-25
Odisha,5200.0,52800.0,520.0,450.0,Odisha Works SoR
Chhattisgarh,5150.0,51500.0,490.0,425.0,CG PWD Unified SoR
Rajasthan,4950.0,54000.0,460.0,480.0,Rajasthan PWD BSR
Andhra Pradesh,5300.0,54500.0,620.0,520.0,AP BOCE CSOR 2024-25
Telangana,5250.0,54200.0,680.0,540.0,TS BOCE CSOR 2024-25
Uttar Pradesh,5350.0,54800.0,780.0,460.0,UP PWD SoR 2024-25
Delhi NCR,5450.0,56200.0,1050.0,680.0,CPWD DSR 2023/24 (Delhi)
Madhya Pradesh,5100.0,53500.0,540.0,440.0,MP PWD SoR 2024-25
Gujarat,5250.0,55400.0,690.0,510.0,Gujarat R&B SoR 2024-25
Bihar,5400.0,54200.0,980.0,435.0,Bihar PWD SoR 2024-25
West Bengal,5350.0,53600.0,890.0,470.0,WB PWD SoR 2024-25
Haryana,5400.0,55800.0,920.0,590.0,Haryana PWD (B&R) HSR
Punjab,5500.0,53900.0,720.0,520.0,Punjab PWD CSR 2024-25
Himachal Pradesh,5150.0,56400.0,580.0,475.0,HPPWD SoR 2024-25
Uttarakhand,5420.0,56100.0,610.0,500.0,Uttarakhand PWD SoR 2024-25
Jammu and Kashmir,5650.0,57500.0,640.0,525.0,JK PWD SoR 2024-25
Jharkhand,5220.0,52400.0,480.0,440.0,Jharkhand PWD SoR 2024-25
Goa,5850.0,56800.0,880.0,560.0,Goa PWD GSR 2024-25
Meghalaya,5180.0,57200.0,620.0,480.0,Meghalaya PWD SoR 2024-25
Assam,5380.0,56500.0,740.0,460.0,Assam PWD SoR 2024-25
Tripura,5900.0,59800.0,1150.0,490.0,Tripura PWD SoR 2024-25
Sikkim,5850.0,58200.0,980.0,520.0,Sikkim PWD SoR 2024-25
Manipur,6050.0,60200.0,1050.0,500.0,Manipur PWD SoR 2024-25
Nagaland,5750.0,58900.0,880.0,480.0,Nagaland PWD SoR 2024-25
